Order No, Order Time, Order Type, Order Taken By, Customer Name, Customer Number, Item name, Quantity, Item Type, Price, Item Tax, Item discount
50945,01-May-2026 12:30 AM,Deliveroo,,,,Dried Fruit Compote 500ml (Компот из Сухофруктов)	,1.0,Regular Item,30.0,1.16883116883117,""
50945,01-May-2026 12:30 AM,Deliveroo,,,,Fried Doctor's Sausage (Жареная Докторская),1.0,Regular Item,80.0,3.116883116883117,""
50945,01-May-2026 12:30 AM,Deliveroo,,,,Organic Mashed Potato,1.0,Modifier,0.0,0.0,""
50945,01-May-2026 12:30 AM,Deliveroo,,,,Fresh Organic Vegetable Salad (Салат из Свежих Овощей),1.0,Regular Item,55.0,2.142857142857143,""
50945,01-May-2026 12:30 AM,Deliveroo,,,,with Sour Cream,1.0,Modifier,0.0,0.0,""
50949,01-May-2026 03:08 AM,Talabat,,,,Smoked Sausages (Копченые Колбаски),1.0,Regular Item,75.0,2.142857142857141,""
50949,01-May-2026 03:08 AM,Talabat,,,,Organic Buckwheat,1.0,Modifier,0.0,0.0,""
50950,01-May-2026 06:20 AM,Talabat,,,,Farm Cottage Cheese Pancakes (Sirniki) (Сырники)	,1.0,Regular Item,55.0,1.30952380952381,""
50950,01-May-2026 06:20 AM,Talabat,,,,Without Raisins,1.0,Modifier,0.0,0.0,""
50951,01-May-2026 07:47 AM,UrbanPiper,,,,Farm Cottage Cheese Pancakes (Sirniki) (Сырники)	,1.0,Regular Item,55.0,1.30952380952381,""
50951,01-May-2026 07:47 AM,UrbanPiper,,,,With Raisins,1.0,Modifier,0.0,0.0,""
50952,01-May-2026 09:15 AM,Deliveroo,,,,Pancakes With Wagyu Beef (A5) (Блины с Говядиной Вагю),1.0,Regular Item,65.0,1.666666666666666,""
50956,01-May-2026 11:03 AM,UrbanPiper,,,,Farm Cottage Cheese Pancakes (Sirniki) (Сырники)	,1.0,Regular Item,55.0,1.30952380952381,""
50956,01-May-2026 11:03 AM,UrbanPiper,,,,Without Raisins,1.0,Modifier,0.0,0.0,""
50958,01-May-2026 11:24 AM,UrbanPiper,,,,Kievsky Cake (Киевский Торт),1.0,Regular Item,55.0,2.61904761904762,""
50958,01-May-2026 11:24 AM,UrbanPiper,,,,Smoked Duck (Копченая Утка),1.0,Regular Item,160.0,7.61904761904762,""
50958,01-May-2026 11:24 AM,UrbanPiper,,,,Cod Liver Salad (Салат с Печенью Трески),1.0,Regular Item,90.0,4.285714285714292,""
50961,01-May-2026 12:02 PM,Talabat,,,,Dried Fruit Compote 500ml (Компот из Сухофруктов)	,1.0,Regular Item,30.0,1.160714285714287,""
50961,01-May-2026 12:02 PM,Talabat,,,,Okroshka With Kefir (Окрошка на Кефире),1.0,Regular Item,75.0,2.901785714285712,""
50961,01-May-2026 12:02 PM,Talabat,,,,Korzinochki (Корзиночки),1.0,Regular Item,55.0,2.127976190476191,""
50963,01-May-2026 12:37 PM,Deliveroo,,,,Sirniki (Frozen) (Сырники Замороженные),1.0,Regular Item,75.0,2.142857142857141,""
50964,01-May-2026 12:52 PM,Talabat,,,,Organic Chicken Soup (Куриный Бульон),1.0,Regular Item,75.0,2.747252747252746,""
50964,01-May-2026 12:52 PM,Talabat,,,,Vareniki With Organic Potatoes (Вареники с Картошкой),1.0,Regular Item,55.0,2.014652014652016,""
50966,01-May-2026 01:30 PM,Talabat,,,,Chicken Meatballs Free Range (Cutlet) (Куриные Котлеты),1.0,Regular Item,95.0,3.809523809523811,""
50966,01-May-2026 01:30 PM,Talabat,,,,Organic Buckwheat,1.0,Modifier,15.0,0.0,""
50967,01-May-2026 01:51 PM,Talabat,,,,Beef Borscht (Борщ),1.0,Regular Item,75.0,2.499999999999998,""
50967,01-May-2026 01:51 PM,Talabat,,,,Garlic Croutons (Чесночные Гренки),1.0,Regular Item,25.0,0.8333333333333328,""
50968,01-May-2026 01:53 PM,Talabat,,,,Okroshka With Kefir (Окрошка на Кефире),1.0,Regular Item,75.0,3.095238095238093,""
50968,01-May-2026 01:53 PM,Talabat,,,,Organic Pickled Cucumbers (Маринованные Огурцы),1.0,Regular Item,55.0,2.269841269841271,""
50968,01-May-2026 01:53 PM,Talabat,,,,Marinated Forest Honey Mushrooms (Маринованные Опята),1.0,Regular Item,95.0,3.920634920634928,""
50972,01-May-2026 02:46 PM,UrbanPiper,,,,Smoked Capelin (Копченая Мойва),1.0,Regular Item,85.0,2.619047619047621,""
50977,01-May-2026 03:55 PM,Talabat,,,,Organic Fried Potato With Mushrooms (Жареная Картошка с Грибами),1.0,Regular Item,35.0,1.111111111111114,""
50977,01-May-2026 03:55 PM,Talabat,,,,Fresh Organic Vegetable Salad (Салат из Свежих Овощей),1.0,Regular Item,55.0,1.746031746031747,""
50977,01-May-2026 03:55 PM,Talabat,,,,with Sour Cream,1.0,Modifier,0.0,0.0,""
50979,01-May-2026 04:45 PM,Deliveroo,,,,Smoked Sausages (Копченые Колбаски),1.0,Regular Item,75.0,2.597402597402596,""
50979,01-May-2026 04:45 PM,Deliveroo,,,,Organic Buckwheat,1.0,Modifier,0.0,0.0,""
50979,01-May-2026 04:45 PM,Deliveroo,,,,Organic Stewed Cabbage (Тушеная Капуста),1.0,Regular Item,35.0,1.212121212121215,""
50981,01-May-2026 05:19 PM,UrbanPiper,,,,Fish Wild Catch Meatballs (Cutlet) (Рыбные Котлеты),1.0,Regular Item,95.0,3.809523809523811,""
50981,01-May-2026 05:19 PM,UrbanPiper,,,,Organic Stewed Cabbage,1.0,Modifier,15.0,0.0,""
50985,01-May-2026 05:37 PM,Deliveroo,,,,Farm Cottage Cheese Pancakes (Sirniki) (Сырники)	,1.0,Regular Item,55.0,1.30952380952381,""
50985,01-May-2026 05:37 PM,Deliveroo,,,,Without Raisins,1.0,Modifier,0.0,0.0,""
50987,01-May-2026 05:54 PM,Talabat,,,,Mixed Meat Solyanka (Мясная Солянка),1.0,Regular Item,75.0,2.747252747252746,""
50987,01-May-2026 05:54 PM,Talabat,,,,Trubochki (Трубочки),1.0,Regular Item,55.0,2.014652014652016,""
51000,01-May-2026 07:57 PM,Talabat,,,,Vareniki With Organic Potatoes (Вареники с Картошкой),1.0,Regular Item,55.0,2.014652014652016,""
51000,01-May-2026 07:57 PM,Talabat,,,,Beef And Rice Balls In Tomato Sauce (Ежики),1.0,Regular Item,75.0,2.747252747252746,""
51001,01-May-2026 08:07 PM,UrbanPiper,,,,Okroshka With Kefir (Окрошка на Кефире),1.0,Regular Item,75.0,2.142857142857141,""
51002,01-May-2026 08:33 PM,Deliveroo,,,,Organic Pickled Cabbage With Cranberries (Квашеная Капуста с Клюквой),1.0,Regular Item,55.0,2.291666666666668,""
51002,01-May-2026 08:33 PM,Deliveroo,,,,Herring Under Vegetables Coat (Селедка под Шубой),1.0,Regular Item,75.0,3.124999999999998,""
51002,01-May-2026 08:33 PM,Deliveroo,,,,One Bite Pie With Wagyu Beef (A5) (Пирожок с Говядиной),2.0,Regular Item,55.0,4.583333333333336,""
51006,01-May-2026 09:52 PM,Talabat,,,,Beef Borscht (Борщ),1.0,Regular Item,75.0,2.142857142857141,""
51007,01-May-2026 11:34 PM,Talabat,,,,Trubochki With Meringue Cream (Трубочки с Белковым Кремом),1.0,Regular Item,55.0,1.69467787114846,""
51007,01-May-2026 11:34 PM,Talabat,,,,Dried Fruit Compote 500ml (Компот из Сухофруктов)	,1.0,Regular Item,30.0,0.9243697478991608,""
51008,01-May-2026 11:49 PM,Deliveroo,,,,Organic Buckwheat,1.0,Modifier,0.0,0.0,""
51008,01-May-2026 11:49 PM,Deliveroo,,,,Organic Pickled Red Tomatoes (Маринованные Помидоры),1.0,Regular Item,65.0,2.431972789115645,""
51008,01-May-2026 11:49 PM,Deliveroo,,,,Smoked Sausages (Копченые Колбаски),1.0,Regular Item,75.0,2.80612244897959,""
51010,02-May-2026 01:34 AM,Talabat,,,,Vareniki With Organic Potatoes (Вареники с Картошкой),1.0,Regular Item,55.0,2.014652014652016,""
51010,02-May-2026 01:34 AM,Talabat,,,,Signature Vinaigrette (Винегрет),1.0,Regular Item,75.0,2.747252747252746,""
51012,02-May-2026 03:27 AM,Talabat,,,,Okroshka With Kefir (Окрошка на Кефире),1.0,Regular Item,75.0,2.597402597402596,""
51012,02-May-2026 03:27 AM,Talabat,,,,Organic Fried Potato With Mushrooms (Жареная Картошка с Грибами),1.0,Regular Item,35.0,1.212121212121215,""
51014,02-May-2026 04:46 AM,Talabat,,,,Peas Soup (Гороховый Суп),1.0,Regular Item,75.0,2.551020408163264,""
51014,02-May-2026 04:46 AM,Talabat,,,,Tarragon Lemonade 500ml (Тархун),1.0,Regular Item,30.0,1.020408163265307,""
