Order No, Order Time, Order Type, Order Taken By, Customer Name, Customer Number, Item name, Quantity, Item Type, Price, Item Tax, Item discount
50974,01-May-2026 03:02 PM,Talabat,,,,Beef Borscht (Борщ),1.0,Regular Item,75.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Oily Fish (Жирная Рыба),1.0,Regular Item,150.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Smoked Venison (Копченая Оленина),1.0,Regular Item,130.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Mixed Meat Solyanka (Мясная Солянка),1.0,Regular Item,75.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Cabbage Rolls (Голубцы),1.0,Regular Item,95.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Chicken Kiev Organic (Котлета по-Киевски),1.0,Regular Item,95.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Organic Mashed Potato,1.0,Modifier,0.0,0.0,""
50974,01-May-2026 03:02 PM,Talabat,,,,Organic Young Potato (Молодой Картофель),1.0,Regular Item,35.0,0.0,""
50982,01-May-2026 05:21 PM,Talabat,,,,Cabbage Rolls (Голубцы),1.0,Regular Item,95.0,0.0,""
51022,02-May-2026 10:45 AM,Talabat,,,,Beef Borscht (Борщ),1.0,Regular Item,75.0,0.0,""
51022,02-May-2026 10:45 AM,Talabat,,,,Meatballs With Mushroom Sauce (Cutlet)  (Котлеты в Грибном Соусе),1.0,Regular Item,95.0,0.0,""
51022,02-May-2026 10:45 AM,Talabat,,,,Organic Mashed Potato,1.0,Modifier,0.0,0.0,""
51031,02-May-2026 12:25 PM,Talabat,,,,Herring Under Vegetables Coat (Селедка под Шубой),1.0,Regular Item,75.0,0.0,""
51112,03-May-2026 11:09 AM,Talabat,,,,Trubochki With Meringue Cream (Трубочки с Белковым Кремом),1.0,Regular Item,55.0,0.0,""
51146,03-May-2026 06:38 PM,Deliveroo,,,,Organic Pickled Cucumbers (Маринованные Огурцы),2.0,Regular Item,55.0,0.0,""
51146,03-May-2026 06:38 PM,Deliveroo,,,,Organic Pickled Red Tomatoes (Маринованные Помидоры),1.0,Regular Item,65.0,0.0,""
51146,03-May-2026 06:38 PM,Deliveroo,,,,Marinated Cherry Tomatoes (Маринованные Черри),1.0,Regular Item,55.0,0.0,""
